symbol,name,sector,exchange,region,universe
GNRC,Generac,Industrials,,US,SP500
GOLD,Harmony Gold,Materials,NYSE,South Africa,GLOBAL_ADR
GOOG,Alphabet Inc. (Class C),Communication Services,,US,SP500
GOOGL,Alphabet Inc. (Class A),Communication Services,,US,SP500
GPC,Genuine Parts Company,Consumer Discretionary,,US,SP500
GPN,Global Payments,Financials,,US,SP500
GRMN,Garmin,Consumer Discretionary,,US,SP500
GS,Goldman Sachs,Financials,,US,SP500
GSK,GSK plc,Healthcare,NYSE,Europe,GLOBAL_ADR
GWW,W. W. Grainger,Industrials,,US,SP500
HAL,Halliburton,Energy,,US,SP500
HAS,Hasbro,Consumer Discretionary,,US,SP500
HBAN,Huntington Bancshares,Financials,,US,SP500
HCA,HCA Healthcare,Health Care,,US,SP500
HD,Home Depot (The),Consumer Discretionary,,US,SP500
HDB,HDFC Bank,Financials,NYSE,India,GLOBAL_ADR
HIG,Hartford (The),Financials,,US,SP500
HII,Huntington Ingalls Industries,Industrials,,US,SP500
HIMX,Himax Technologies,Technology,NASDAQ,Taiwan,GLOBAL_ADR
HL,Hecla Mining,Materials,NYSE,South Africa,GLOBAL_ADR
HLT,Hilton Worldwide,Consumer Discretionary,,US,SP500
HMC,Honda Motor,Automotive,NYSE,Japan,GLOBAL_ADR
HOLX,Hologic,Health Care,,US,SP500
HON,Honeywell,Industrials,,US,SP500
HOOD,Robinhood Markets,Financials,,US,SP500
HPE,Hewlett Packard Enterprise,Information Technology,,US,SP500
HPQ,HP Inc.,Information Technology,,US,SP500
HRL,Hormel Foods,Consumer Staples,,US,SP500
HSBC,HSBC Holdings,Financials,NYSE,Europe,GLOBAL_ADR
HSIC,Henry Schein,Health Care,,US,SP500
HST,Host Hotels & Resorts,Real Estate,,US,SP500
HSY,Hershey Company (The),Consumer Staples,,US,SP500
HUBB,Hubbell Incorporated,Industrials,,US,SP500
HUM,Humana,Health Care,,US,SP500
HWM,Howmet Aerospace,Industrials,,US,SP500
IBKR,Interactive Brokers,Financials,,US,SP500
IBM,IBM,Information Technology,,US,SP500
IBN,ICICI Bank,Financials,NYSE,India,GLOBAL_ADR
ICE,Intercontinental Exchange,Financials,,US,SP500
IDXX,Idexx Laboratories,Health Care,,US,SP500
IEX,IDEX Corporation,Industrials,,US,SP500
IFF,International Flavors & Fragrances,Materials,,US,SP500
INCY,Incyte,Health Care,,US,SP500
INFY,Infosys,Technology,NYSE,India,GLOBAL_ADR
ING,ING Group,Financials,NYSE,Europe,GLOBAL_ADR
INSM,Insmed Incorporated,,NASDAQ,US,NDX100
INTC,Intel,Information Technology,,US,SP500
INTU,Intuit,Information Technology,,US,SP500
INVH,Invitation Homes,Real Estate,,US,SP500
IP,International Paper,Materials,,US,SP500
IQ,iQIYI,Communication,NASDAQ,China,GLOBAL_ADR
IQV,IQVIA,Health Care,,US,SP500
IR,Ingersoll Rand,Industrials,,US,SP500
IRM,Iron Mountain,Real Estate,,US,SP500
ISRG,Intuitive Surgical,Health Care,,US,SP500
IT,Gartner,Information Technology,,US,SP500
ITOCY,Itochu Corp,Industrials,OTC,Europe,GLOBAL_ADR
ITUB,Itau Unibanco,Financials,NYSE,Brazil,GLOBAL_ADR
ITW,Illinois Tool Works,Industrials,,US,SP500
IVZ,Invesco,Financials,,US,SP500
IX,ORIX Corporation,Financials,NYSE,Japan,GLOBAL_ADR
J,Jacobs Solutions,Industrials,,US,SP500
JBHT,J.B. Hunt,Industrials,,US,SP500
JBL,Jabil,Information Technology,,US,SP500
JCI,Johnson Controls,Industrials,,US,SP500
JD,JD.com,Consumer Disc,NASDAQ,China,GLOBAL_ADR
JKHY,Jack Henry & Associates,Financials,,US,SP500
JNJ,Johnson & Johnson,Health Care,,US,SP500
JPM,JPMorgan Chase,Financials,,US,SP500
KB,KB Financial Group,Financials,NYSE,South Korea,GLOBAL_ADR
KDP,Keurig Dr Pepper,Consumer Staples,,US,SP500
KEP,Korea Electric Power,Utilities,NYSE,South Korea,GLOBAL_ADR
KEY,KeyCorp,Financials,,US,SP500
KEYS,Keysight Technologies,Information Technology,,US,SP500
KHC,Kraft Heinz,Consumer Staples,,US,SP500
KIM,Kimco Realty,Real Estate,,US,SP500
KKR,KKR & Co.,Financials,,US,SP500
KLAC,KLA Corporation,Information Technology,,US,SP500
KMB,Kimberly-Clark,Consumer Staples,,US,SP500
KMI,Kinder Morgan,Energy,,US,SP500
KO,Coca-Cola Company (The),Consumer Staples,,US,SP500
KR,Kroger,Consumer Staples,,US,SP500
KT,KT Corp,Communication,NYSE,South Korea,GLOBAL_ADR
KVUE,Kenvue,Consumer Staples,,US,SP500
KYOCY,Kyocera,Technology,OTC,Japan,GLOBAL_ADR
L,Loews Corporation,Financials,,US,SP500
LDOS,Leidos,Industrials,,US,SP500
LEN,Lennar,Consumer Discretionary,,US,SP500
LH,Labcorp,Health Care,,US,SP500
LHX,L3Harris,Industrials,,US,SP500
LI,Li Auto,Automotive,NASDAQ,China,GLOBAL_ADR
LII,Lennox International,Industrials,,US,SP500
LIN,Linde plc,Materials,,US,SP500
LLY,Lilly (Eli),Health Care,,US,SP500
LMT,Lockheed Martin,Industrials,,US,SP500
LNT,Alliant Energy,Utilities,,US,SP500
LOW,Lowe's,Consumer Discretionary,,US,SP500
LPL,LG Display,Technology,NYSE,South Korea,GLOBAL_ADR
LRCX,Lam Research,Information Technology,,US,SP500
LULU,Lululemon Athletica,Consumer Discretionary,,US,SP500
LUV,Southwest Airlines,Industrials,,US,SP500
LVS,Las Vegas Sands,Consumer Discretionary,,US,SP500
LW,Lamb Weston,Consumer Staples,,US,SP500
LYB,LyondellBasell,Materials,,US,SP500
LYG,Lloyds Banking Group,Financials,NYSE,Europe,GLOBAL_ADR
LYV,Live Nation Entertainment,Communication Services,,US,SP500
MA,Mastercard,Financials,,US,SP500
MAA,Mid-America Apartment Communities,Real Estate,,US,SP500
MAR,Marriott International,Consumer Discretionary,,US,SP500
MAS,Masco,Industrials,,US,SP500
MCD,McDonald's,Consumer Discretionary,,US,SP500
MCHP,Microchip Technology,Information Technology,,US,SP500
MCK,McKesson Corporation,Health Care,,US,SP500
MCO,Moody's Corporation,Financials,,US,SP500
MDLZ,Mondelez International,Consumer Staples,,US,SP500
MDT,Medtronic,Health Care,,US,SP500
MELI,Mercado Libre,,NASDAQ,US,NDX100
MET,MetLife,Financials,,US,SP500
META,Meta Platforms,Communication Services,,US,SP500
MFC,Manulife Financial,Financials,NYSE,Canada,GLOBAL_ADR
MFG,Mizuho Financial,Financials,NYSE,Japan,GLOBAL_ADR
MGM,MGM Resorts,Consumer Discretionary,,US,SP500
MKC,McCormick & Company,Consumer Staples,,US,SP500
MLM,Martin Marietta Materials,Materials,,US,SP500
MMM,3M,Industrials,,US,SP500
MNST,Monster Beverage,Consumer Staples,,US,SP500
MO,Altria,Consumer Staples,,US,SP500
MOH,Molina Healthcare,Health Care,,US,SP500
MOS,Mosaic Company (The),Materials,,US,SP500
MPC,Marathon Petroleum,Energy,,US,SP500
MPNGY,Meituan,Technology,OTC,China,GLOBAL_ADR
MPWR,Monolithic Power Systems,Information Technology,,US,SP500
MRK,Merck & Co.,Health Care,,US,SP500
MRNA,Moderna,Health Care,,US,SP500
MRSH,Marsh McLennan,Financials,,US,SP500
MRVL,Marvell Technology,,NASDAQ,US,NDX100
MS,Morgan Stanley,Financials,,US,SP500
MSCI,MSCI Inc.,Financials,,US,SP500
MSFT,Microsoft,Information Technology,,US,SP500
MSI,Motorola Solutions,Information Technology,,US,SP500
MSTR,MicroStrategy,,NASDAQ,US,NDX100
MTB,M&T Bank,Financials,,US,SP500
MTCH,Match Group,Communication Services,,US,SP500
MTD,Mettler Toledo,Health Care,,US,SP500
MTN,MTN Group,Communication,OTC,South Africa,GLOBAL_ADR
MU,Micron Technology,Information Technology,,US,SP500
MUFG,Mitsubishi UFJ Financial,Financials,NYSE,Japan,GLOBAL_ADR
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,,US,SP500
NDAQ,"Nasdaq, Inc.",Financials,,US,SP500
NDSN,Nordson Corporation,Industrials,,US,SP500
NEE,NextEra Energy,Utilities,,US,SP500
NEM,Newmont,Materials,,US,SP500
NFLX,Netflix,Communication Services,,US,SP500
NI,NiSource,Utilities,,US,SP500
NIO,NIO Inc,Automotive,NYSE,China,GLOBAL_ADR
NKE,"Nike, Inc.",Consumer Discretionary,,US,SP500
NMR,Nomura Holdings,Financials,NYSE,Japan,GLOBAL_ADR
NOC,Northrop Grumman,Industrials,,US,SP500
NOK,Nokia,Technology,NYSE,Europe,GLOBAL_ADR
NOW,ServiceNow,Information Technology,,US,SP500
NRG,NRG Energy,Utilities,,US,SP500
NSC,Norfolk Southern,Industrials,,US,SP500
NTAP,NetApp,Information Technology,,US,SP500
NTDOY,Nintendo,Technology,OTC,Japan,GLOBAL_ADR
NTES,NetEase,Technology,NASDAQ,China,GLOBAL_ADR
NTRS,Northern Trust,Financials,,US,SP500
NU,Nu Holdings,Financials,NYSE,Latin America,GLOBAL_ADR
NUE,Nucor,Materials,,US,SP500
NVDA,Nvidia,Information Technology,,US,SP500
NVO,Novo Nordisk,Healthcare,NYSE,Europe,GLOBAL_ADR
NVR,"NVR, Inc.",Consumer Discretionary,,US,SP500
NWG,NatWest Group,Financials,NYSE,Europe,GLOBAL_ADR
NWS,News Corp (Class B),Communication Services,,US,SP500
NWSA,News Corp (Class A),Communication Services,,US,SP500
NXPI,NXP Semiconductors,Information Technology,,US,SP500
O,Realty Income,Real Estate,,US,SP500
ODFL,Old Dominion,Industrials,,US,SP500
OKE,Oneok,Energy,,US,SP500
OMC,Omnicom Group,Communication Services,,US,SP500
ON,ON Semiconductor,Information Technology,,US,SP500
ORAN,Orange SA,Communication,NYSE,Europe,GLOBAL_ADR
ORCL,Oracle Corporation,Information Technology,,US,SP500
ORLY,O’Reilly Automotive,Consumer Discretionary,,US,SP500
OTIS,Otis Worldwide,Industrials,,US,SP500
OXY,Occidental Petroleum,Energy,,US,SP500
PAGS,PagSeguro,Financials,NYSE,Latin America,GLOBAL_ADR
PANW,Palo Alto Networks,Information Technology,,US,SP500
PAYC,Paycom,Industrials,,US,SP500
PAYX,Paychex,Industrials,,US,SP500
PBR,Petrobras,Energy,NYSE,Brazil,GLOBAL_ADR
PCAR,Paccar,Industrials,,US,SP500
PCG,PG&E Corporation,Utilities,,US,SP500
PDD,PDD Holdings,,NASDAQ,US,NDX100
PEG,Public Service Enterprise Group,Utilities,,US,SP500
PEP,PepsiCo,Consumer Staples,,US,SP500
PFE,Pfizer,Health Care,,US,SP500
PFG,Principal Financial Group,Financials,,US,SP500
PG,Procter & Gamble,Consumer Staples,,US,SP500
PGR,Progressive Corporation,Financials,,US,SP500
PH,Parker Hannifin,Industrials,,US,SP500
PHG,Philips,Healthcare,NYSE,Europe,GLOBAL_ADR
PHM,PulteGroup,Consumer Discretionary,,US,SP500
PKG,Packaging Corporation of America,Materials,,US,SP500
PKX,POSCO Holdings,Materials,NYSE,South Korea,GLOBAL_ADR
PLD,Prologis,Real Estate,,US,SP500
PLTR,Palantir Technologies,Information Technology,,US,SP500
PM,Philip Morris International,Consumer Staples,,US,SP500
PNC,PNC Financial Services,Financials,,US,SP500
PNR,Pentair,Industrials,,US,SP500
PNW,Pinnacle West Capital,Utilities,,US,SP500
PODD,Insulet Corporation,Health Care,,US,SP500
POOL,Pool Corporation,Consumer Discretionary,,US,SP500
PPG,PPG Industries,Materials,,US,SP500
PPL,PPL Corporation,Utilities,,US,SP500
PRU,Prudential Financial,Financials,,US,SP500
PSA,Public Storage,Real Estate,,US,SP500
PSKY,Paramount Skydance Corporation,Communication Services,,US,SP500
PSX,Phillips 66,Energy,,US,SP500
PTC,PTC Inc.,Information Technology,,US,SP500
PWR,Quanta Services,Industrials,,US,SP500
PYPL,PayPal,Financials,,US,SP500
Q,Qnity Electronics,Information Technology,,US,SP500
QCOM,Qualcomm,Information Technology,,US,SP500
RCL,Royal Caribbean Group,Consumer Discretionary,,US,SP500
RDS-A,Shell (legacy),Energy,NYSE,Europe,GLOBAL_ADR
RDY,Dr. Reddy's Laboratories,Healthcare,NYSE,India,GLOBAL_ADR
REG,Regency Centers,Real Estate,,US,SP500
REGN,Regeneron Pharmaceuticals,Health Care,,US,SP500
RF,Regions Financial Corporation,Financials,,US,SP500
RIO,Rio Tinto,Materials,NYSE,Australia,GLOBAL_ADR
RJF,Raymond James Financial,Financials,,US,SP500
RL,Ralph Lauren Corporation,Consumer Discretionary,,US,SP500
RMD,ResMed,Health Care,,US,SP500
ROK,Rockwell Automation,Industrials,,US,SP500
ROL,"Rollins, Inc.",Industrials,,US,SP500
ROP,Roper Technologies,Information Technology,,US,SP500
ROST,Ross Stores,Consumer Discretionary,,US,SP500
RSG,Republic Services,Industrials,,US,SP500
RTX,RTX Corporation,Industrials,,US,SP500
RVTY,Revvity,Health Care,,US,SP500
SAN,Banco Santander,Financials,NYSE,Europe,GLOBAL_ADR
SAP,SAP SE,Technology,NYSE,Europe,GLOBAL_ADR
SBAC,SBA Communications,Real Estate,,US,SP500
SBS,Cia de Saneamento Basico,Utilities,NYSE,Brazil,GLOBAL_ADR
SBUX,Starbucks,Consumer Discretionary,,US,SP500
SCHW,Charles Schwab Corporation,Financials,,US,SP500
SHEL,Shell PLC,Energy,NYSE,Europe,GLOBAL_ADR
SHG,Shinhan Financial,Financials,NYSE,South Korea,GLOBAL_ADR
SHOP,Shopify,,NASDAQ,US,NDX100
SHW,Sherwin-Williams,Materials,,US,SP500
SIFY,Sify Technologies,Technology,NASDAQ,India,GLOBAL_ADR
SJM,J.M. Smucker Company (The),Consumer Staples,,US,SP500
SKM,SK Telecom,Communication,NYSE,South Korea,GLOBAL_ADR
SLB,Schlumberger,Energy,,US,SP500
SLF,Sun Life Financial,Financials,NYSE,Canada,GLOBAL_ADR
SMCI,Supermicro,Information Technology,,US,SP500
SMFG,Sumitomo Mitsui Financial,Financials,NYSE,Japan,GLOBAL_ADR
SNA,Snap-on,Industrials,,US,SP500
SNDK,Sandisk,Information Technology,,US,SP500
SNPS,Synopsys,Information Technology,,US,SP500
SO,Southern Company,Utilities,,US,SP500
SOLV,Solventum,Health Care,,US,SP500
SONY,Sony Group,Technology,NYSE,Japan,GLOBAL_ADR
SPG,Simon Property Group,Real Estate,,US,SP500
SPGI,S&P Global,Financials,,US,SP500
SRE,Sempra,Utilities,,US,SP500
STE,Steris,Health Care,,US,SP500
STLD,Steel Dynamics,Materials,,US,SP500
STM,STMicroelectronics,Technology,NYSE,Europe,GLOBAL_ADR
STNE,StoneCo,Financials,NASDAQ,Latin America,GLOBAL_ADR
STT,State Street Corporation,Financials,,US,SP500
STX,Seagate Technology,Information Technology,,US,SP500
STZ,Constellation Brands,Consumer Staples,,US,SP500
SU,Suncor Energy,Energy,NYSE,Canada,GLOBAL_ADR
SW,Smurfit Westrock,Materials,,US,SP500
SWK,Stanley Black & Decker,Industrials,,US,SP500
SWKS,Skyworks Solutions,Information Technology,,US,SP500
SYF,Synchrony Financial,Financials,,US,SP500
SYK,Stryker Corporation,Health Care,,US,SP500
SYY,Sysco,Consumer Staples,,US,SP500
T,AT&T,Communication Services,,US,SP500
TAP,Molson Coors Beverage Company,Consumer Staples,,US,SP500
TDG,TransDigm Group,Industrials,,US,SP500
TDY,Teledyne Technologies,Information Technology,,US,SP500
TEAM,Atlassian,,NASDAQ,US,NDX100
TECH,Bio-Techne,Health Care,,US,SP500
